# SPDX-License-Identifier: GPL-3.0-or-later
# Re-audit snapshot: HEAD 2552be5fa, build bd28186b79c34f1aa5d20331c7c04a1a. Not closure claims.
selector	unit	baseline_cur	observation	disposition	next_check	previous_note
?on_packet_has_been_sent@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXPBVtcp_packet@23@ABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	99.9877	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
?on_connected@async_connector@network_core@vostok@@AAEXABVerror_code@system@boost@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@6@@Z	vostok/network_core/sources/async_connector.cpp	99.9904	statement_presence_or_alignment	needs_reaudit	Compare ordinal spans and source/control-flow geometry; distinguish real missing statements from alignment.	[PARTIAL 96.25%] LTCG ICF-folded boost::function reps + register alloc; body byte-correct
?on_resolved@async_connector@network_core@vostok@@AAEXQAV?$basic_resolver@Vtcp@ip@asio@boost@@V?$resolver_service@Vtcp@ip@asio@boost@@@234@@ip@asio@boost@@ABVerror_code@system@7@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@567@@Z	vostok/network_core/sources/async_connector.cpp	99.8346	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 93.25%] 20/20 after reconstructing the error/not-exhausted arm as a RETRY re-resolve (target bytes at 0x5454b7: deref *iterator -> endpoint temp, bind(&on_resolved, this, resolver, _1, _2), resolver_service::async_resolve), NOT the old m_host/connect guess; ++iterator is its own statement, the inner if tests `!=` with flat returns. Residual is LOG_INFO __LINE__/lowering + DELETE call-form noise. | network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
?on_packet_received@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXPBVtcp_packet@23@ABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	99.9913	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
?process_low_level_message@udp_match_connection@network_core@vostok@@AAEXAAVpacket_reader@23@I@Z	vostok/network_core/sources/udp_match_connection.cpp	96.6076	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 86.24%] 12/12; default shares the initiate_disconnection arm (the dispatch falls through into it). Residual: the target dispatch emits a redundant cmp-0/je for case 0 that our compiler dedups against the adjacent default (label-order flip changes nothing), on top of the r<bool> COMDAT call-form wall. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?r@packet_reader@network_core@vostok@@QAEXPAXII@Z	vostok/network_core/packet_reader_inline.h	81.6667	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	Preserve const size in definition; restore retail non-const class declaration. Class signatures and procedure locals are distinct evidence channels.
?send@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@QAEXABVtcp_packet@23@@Z	vostok/network_core/tcp_packet_socket_inline.h	99.9	statement_presence_or_alignment	needs_reaudit	Compare ordinal spans and source/control-flow geometry; distinguish real missing statements from alignment.	Retail RVA 0x123ee0 offset 0x9e loads const_buffers_1 size at +4 for completion callback. Restore buffer_size(buffer), including wire header, rather than packet payload size; retain synchronous transfer_all write and three named locals.
?send@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	88.6613	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 71.59%] 5/5; residual is the async_send_to statement (+0x1a: the make_custom_alloc_handler named-return result-copy our LTCG fails to elide - the start_receiving precedent - plus bind_t copy scheduling) and buffer_to_send_size inline-vs-call. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?send_packets_list@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@I@Z	vostok/network_core/sources/udp_match_connection.cpp	95.811	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 76.47%] 42/42; the base frame outgrows disp8 (inlined buffer_size/ header_size temps), so every this-access pays +3 - a frame cascade of the inline-vs-call wall; plus the seq op= lowering rows. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?start_receiving@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@QAEXXZ	vostok/network_core/tcp_packet_socket_inline.h	87.25	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	network_core closeout (#407): structure + named-locals MATCH the target across all 15 TUs (verified by the 4 matchers, pdb_fetch structure-diff/info). Byte residuals are non-steerable library/codegen walls: MIXED-OPTIMIZATION (packet<> templates compiled optimized in the shipped game vs /Od base), packet serialize/r<>/append/resize inline-vs-call, boost::function/bind asio completion-handler inline, StlPort basic_string overload-resolution, LOG/ASSERT-eater macro form, LTCG/ICF call-boundary + seed-immediate + secure-CRT reloc naming. See per-TU claude@NOTEs.
?send_queued_packets@udp_match_connection@network_core@vostok@@QAEXI@Z	vostok/network_core/sources/udp_match_connection.cpp	97.5688	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 89.69%] 71/71 (switch jump-table with NODEFAULT, no bounds check, matches); residual is seq op= lowering + buffer_size/allocated_size inline-vs-call + a short-vs-near backedge cascade. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
?start_receiving@udp_match_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/udp_match_client.cpp	90.8235	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	[PARTIAL 90.97%] frame/slots exact (0xD0) after make_custom_alloc_handler named-return fix; residual is the result-copy (0x12 bytes) our LTCG fails to elide in this standalone emission (target keeps it in the tcp_packet_client::start_reading emission, 100% there - the spelling proof). | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable.
?stop_receiving@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@QAEXXZ	vostok/network_core/tcp_packet_socket_inline.h	99.8077	size_only	needs_reaudit	Resolve differing instructions, overloads, types and inline callees before attributing a compiler limitation.	Exact 2/2 source structure; remaining code differs only in boost::asio cancel temporary stack slots and trailing alignment.
?tick@udp_network_flow_emulator@network_core@vostok@@QAEXIABV?$function@$$A6AXAAVpacket_reader@network_core@vostok@@ABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@@Z@boost@@@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	99.8894	projected_match	needs_reaudit	Verify complete procedure bytes, locals, file provenance and zero-statement/prologue blind spots.	"[PARTIAL 65.29%] from 0x728a30. Structure 15/15 per the target line table: two flat empty-guards (m_delayed_packets at entry; delayed_packets_to_appear after the erase - its `return` row carries the inlined buffer_vector dtor walk), single-declaration `for ( pair* i = begin(), * e = end(); ... )` (one stmt, no separate begin/end rows, no `packet` local - target derefs i->first inline), and both per-packet packet_readers named `reader` (first one + the two dead seq-id reads in an inner brace scope). The reader args are buffer_to_send( ) / buffer_to_send_size( ) - the target expansion is ONE folded buffer_size( ) call + ONE header_size( ) call on a single i->first spill, then the inlined +2Bh data pointer (resolves the old ""exact reader size arg"" TODO; `+ header_size( )` would emit a second header_size). Residual is the documented LTCG call-boundary wall - see body VERDICT. | network_core udp_misc (udp_match_client/flow_emulator/entry_point/allocators): structure + named-locals MATCH the target (verified structure-diff/info). Byte residual = LTCG/ICF call-boundary walls - LOG boost::function ctor scheduling, packet recv r<> inline-vs-call, allocator-template inlining, seed-immediate delinker asymmetry, secure-CRT reloc naming, dead-loop jmp-anchor (get_ip_address lever in review_todos.md). Not source-steerable."
?update_acknowledgements@udp_match_connection@network_core@vostok@@AAEXV?$sequence_number@G@23@0G@Z	vostok/network_core/sources/udp_match_connection.cpp	75.7738	size_only	measured_match	Build c7afede9: 100%, 33 statements/1060B/eight locals, unchanged caller source; subtraction helper correction restores calls and stack geometry.	[PARTIAL 59.47%] 33/33; the % floor is the three operator-<u16> statements the base inlines (0x51 each) where the target calls the kept COMDAT (0x1c) - the is_low_level_packet r<u16> wall - plus math::max the OTHER direction (base calls, target inlines branchless - the udp_match_client ctor precedent) and predicate-ctor fold scheduling. | network_core udp_match_connection: structure + named-locals MATCH the target (verified pdb_fetch --view structure-diff/info); byte residual is inline-vs-call codegen (packet serialize(pbyte&)/sequence_number operator=/append template/packet_reader r<>/asio handler inlined in LTCG target vs single-TU /Od base) - not source-steerable. See claude@NOTE + packet_reader_inline.h.
