rva	name	size	type	comment
0x523a6c	DAT_00533a6c	0x18	switch::JumpTable[6]	Expat xmltok _normal_updatePosition relocated switch destinations; 6 contiguous retail code pointers
0x523a90	_utf8_toUtf8	0xa4	code	Expat xmltok _utf8_toUtf8 body; manually bounded by its retail COFF contribution
0x523b40	_utf8_toUtf16	0x197	code	Expat xmltok _utf8_toUtf16 body; manually bounded by its retail COFF contribution
0x523ce0	_latin1_toUtf8	0xc9	code	Expat xmltok _latin1_toUtf8 body; manually bounded by its retail COFF contribution
0x523db0	_latin1_toUtf16	0x46	code	Expat xmltok _latin1_toUtf16 body; manually bounded by its retail COFF contribution
0x523e00	_ascii_toUtf8	0x43	code	Expat xmltok _ascii_toUtf8 body; manually bounded by its retail COFF contribution
0x523e50	_little2_toUtf8	0x298	code	Expat xmltok _little2_toUtf8 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x5240e8	DAT_005340e8	0x10	switch::JumpTable[4]	Expat xmltok _little2_toUtf8 relocated switch destinations; 4 contiguous retail code pointers
0x5240f8	DAT_005340f8	0xdc	switch::IndexTable<u8>[220]	Expat xmltok _little2_toUtf8 selector index; retail cmp bound proves 220 byte entries
0x5241e0	_little2_toUtf16	0x8b	code	Expat xmltok _little2_toUtf16 body; manually bounded by its retail COFF contribution
0x524270	_big2_toUtf8	0x298	code	Expat xmltok _big2_toUtf8 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x524508	DAT_00534508	0x10	switch::JumpTable[4]	Expat xmltok _big2_toUtf8 relocated switch destinations; 4 contiguous retail code pointers
0x524518	DAT_00534518	0xdc	switch::IndexTable<u8>[220]	Expat xmltok _big2_toUtf8 selector index; retail cmp bound proves 220 byte entries
0x524600	_big2_toUtf16	0x8b	code	Expat xmltok _big2_toUtf16 body; manually bounded by its retail COFF contribution
0x524690	_little2_cdataSectionTok	0x370	code	Expat xmltok _little2_cdataSectionTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x524a00	DAT_00534a00	0x2c	switch::JumpTable[11]	Expat xmltok _little2_cdataSectionTok relocated switch destinations; 11 contiguous retail code pointers
0x524a2c	DAT_00534a2c	0x14	switch::JumpTable[5]	Expat xmltok _little2_cdataSectionTok relocated switch destinations; 5 contiguous retail code pointers
0x524a40	DAT_00534a40	0xb	switch::IndexTable<u8>[11]	Expat xmltok _little2_cdataSectionTok selector index; retail cmp bound proves 11 byte entries
0x524a50	_unicode_byte_type	0x60	code	Expat xmltok _unicode_byte_type body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x524ab0	DAT_00534ab0	0x10	switch::JumpTable[4]	Expat xmltok _unicode_byte_type relocated switch destinations; 4 contiguous retail code pointers
0x524ac0	DAT_00534ac0	0x28	switch::IndexTable<u8>[40]	Expat xmltok _unicode_byte_type selector index; retail cmp bound proves 40 byte entries
0x524af0	_little2_contentTok	0x428	code	Expat xmltok _little2_contentTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x524f18	DAT_00534f18	0x2c	switch::JumpTable[11]	Expat xmltok _little2_contentTok relocated switch destinations; 11 contiguous retail code pointers
0x524f44	DAT_00534f44	0x14	switch::JumpTable[5]	Expat xmltok _little2_contentTok relocated switch destinations; 5 contiguous retail code pointers
0x524f58	DAT_00534f58	0xb	switch::IndexTable<u8>[11]	Expat xmltok _little2_contentTok selector index; retail cmp bound proves 11 byte entries
0x524f70	DAT_00534f70	0x32c	code	Expat xmltok private routine 0x524f70 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52529c	DAT_0053529c	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x524f70 relocated switch destinations; 7 contiguous retail code pointers
0x5252b8	DAT_005352b8	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x524f70 selector index; retail cmp bound proves 25 byte entries
0x5252d4	DAT_005352d4	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x524f70 relocated switch destinations; 7 contiguous retail code pointers
0x5252f0	DAT_005352f0	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x524f70 selector index; retail cmp bound proves 25 byte entries
0x525550	DAT_00535550	0x7c0	code	Expat xmltok private routine 0x525550 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x525d10	DAT_00535d10	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x525550 relocated switch destinations; 9 contiguous retail code pointers
0x525d34	DAT_00535d34	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x525550 selector index; retail cmp bound proves 25 byte entries
0x525d50	DAT_00535d50	0x28	switch::JumpTable[10]	Expat xmltok private routine 0x525550 relocated switch destinations; 10 contiguous retail code pointers
0x525d78	DAT_00535d78	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x525550 selector index; retail cmp bound proves 25 byte entries
0x525d94	DAT_00535d94	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x525550 relocated switch destinations; 6 contiguous retail code pointers
0x525dac	DAT_00535dac	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x525550 selector index; retail cmp bound proves 25 byte entries
0x525dc8	DAT_00535dc8	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x525550 relocated switch destinations; 9 contiguous retail code pointers
0x525dec	DAT_00535dec	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x525550 selector index; retail cmp bound proves 25 byte entries
0x525e10	DAT_00535e10	0x1e4	code	Expat xmltok private routine 0x525e10 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x525ff4	DAT_00535ff4	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x525e10 relocated switch destinations; 6 contiguous retail code pointers
0x52600c	DAT_0053600c	0x1c	switch::IndexTable<u8>[28]	Expat xmltok private routine 0x525e10 selector index; retail cmp bound proves 28 byte entries
0x526030	DAT_00536030	0x510	code	Expat xmltok private routine 0x526030 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x526540	DAT_00536540	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x526030 relocated switch destinations; 6 contiguous retail code pointers
0x526558	DAT_00536558	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526030 selector index; retail cmp bound proves 25 byte entries
0x526574	DAT_00536574	0x20	switch::JumpTable[8]	Expat xmltok private routine 0x526030 relocated switch destinations; 8 contiguous retail code pointers
0x526594	DAT_00536594	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526030 selector index; retail cmp bound proves 25 byte entries
0x5265b0	DAT_005365b0	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x526030 relocated switch destinations; 6 contiguous retail code pointers
0x5265c8	DAT_005365c8	0x10	switch::IndexTable<u8>[16]	Expat xmltok private routine 0x526030 selector index; retail cmp bound proves 16 byte entries
0x526790	DAT_00536790	0x3cc	code	Expat xmltok private routine 0x526790 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x526b5c	DAT_00536b5c	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x526790 relocated switch destinations; 6 contiguous retail code pointers
0x526b74	DAT_00536b74	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526790 selector index; retail cmp bound proves 25 byte entries
0x526b90	DAT_00536b90	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x526790 relocated switch destinations; 9 contiguous retail code pointers
0x526bb4	DAT_00536bb4	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526790 selector index; retail cmp bound proves 25 byte entries
0x526bd0	DAT_00536bd0	0xc	switch::JumpTable[3]	Expat xmltok private routine 0x526790 relocated switch destinations; 3 contiguous retail code pointers
0x526bdc	DAT_00536bdc	0xd	switch::IndexTable<u8>[13]	Expat xmltok private routine 0x526790 selector index; retail cmp bound proves 13 byte entries
0x526bf0	DAT_00536bf0	0x868	code	Expat xmltok private routine 0x526bf0 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x527458	DAT_00537458	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x526bf0 relocated switch destinations; 9 contiguous retail code pointers
0x52747c	DAT_0053747c	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526bf0 selector index; retail cmp bound proves 25 byte entries
0x527498	DAT_00537498	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x526bf0 relocated switch destinations; 6 contiguous retail code pointers
0x5274b0	DAT_005374b0	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526bf0 selector index; retail cmp bound proves 25 byte entries
0x5274cc	DAT_005374cc	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x526bf0 relocated switch destinations; 9 contiguous retail code pointers
0x5274f0	DAT_005374f0	0x10	switch::JumpTable[4]	Expat xmltok private routine 0x526bf0 relocated switch destinations; 4 contiguous retail code pointers
0x527500	DAT_00537500	0xd	switch::IndexTable<u8>[13]	Expat xmltok private routine 0x526bf0 selector index; retail cmp bound proves 13 byte entries
0x527510	DAT_00537510	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x526bf0 relocated switch destinations; 9 contiguous retail code pointers
0x527534	DAT_00537534	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x526bf0 selector index; retail cmp bound proves 25 byte entries
0x527550	_little2_prologTok	0xa00	code	Expat xmltok _little2_prologTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x527f50	DAT_00537f50	0x54	switch::JumpTable[21]	Expat xmltok _little2_prologTok relocated switch destinations; 21 contiguous retail code pointers
0x527fa4	DAT_00537fa4	0x23	switch::IndexTable<u8>[35]	Expat xmltok _little2_prologTok selector index; retail cmp bound proves 35 byte entries
0x527fc8	DAT_00537fc8	0x10	switch::JumpTable[4]	Expat xmltok _little2_prologTok relocated switch destinations; 4 contiguous retail code pointers
0x527fd8	DAT_00537fd8	0x19	switch::IndexTable<u8>[25]	Expat xmltok _little2_prologTok selector index; retail cmp bound proves 25 byte entries
0x527ff4	DAT_00537ff4	0x14	switch::JumpTable[5]	Expat xmltok _little2_prologTok relocated switch destinations; 5 contiguous retail code pointers
0x528008	DAT_00538008	0x1c	switch::IndexTable<u8>[28]	Expat xmltok _little2_prologTok selector index; retail cmp bound proves 28 byte entries
0x528024	DAT_00538024	0x2c	switch::JumpTable[11]	Expat xmltok _little2_prologTok relocated switch destinations; 11 contiguous retail code pointers
0x528050	DAT_00538050	0x20	switch::IndexTable<u8>[32]	Expat xmltok _little2_prologTok selector index; retail cmp bound proves 32 byte entries
0x528070	DAT_00538070	0x18	switch::JumpTable[6]	Expat xmltok _little2_prologTok relocated switch destinations; 6 contiguous retail code pointers
0x528088	DAT_00538088	0x19	switch::IndexTable<u8>[25]	Expat xmltok _little2_prologTok selector index; retail cmp bound proves 25 byte entries
0x5280b0	DAT_005380b0	0x1dc	code	Expat xmltok private routine 0x5280b0 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52828c	DAT_0053828c	0x20	switch::JumpTable[8]	Expat xmltok private routine 0x5280b0 relocated switch destinations; 8 contiguous retail code pointers
0x5282ac	DAT_005382ac	0x10	switch::JumpTable[4]	Expat xmltok private routine 0x5280b0 relocated switch destinations; 4 contiguous retail code pointers
0x5282bc	DAT_005382bc	0x16	switch::IndexTable<u8>[22]	Expat xmltok private routine 0x5280b0 selector index; retail cmp bound proves 22 byte entries
0x5282d4	DAT_005382d4	0x8	switch::JumpTable[2]	Expat xmltok private routine 0x5280b0 relocated switch destinations; 2 contiguous retail code pointers
0x5282dc	DAT_005382dc	0x16	switch::IndexTable<u8>[22]	Expat xmltok private routine 0x5280b0 selector index; retail cmp bound proves 22 byte entries
0x528300	DAT_00538300	0x31c	code	Expat xmltok private routine 0x528300 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52861c	DAT_0053861c	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x528300 relocated switch destinations; 7 contiguous retail code pointers
0x528638	DAT_00538638	0x1a	switch::IndexTable<u8>[26]	Expat xmltok private routine 0x528300 selector index; retail cmp bound proves 26 byte entries
0x528654	DAT_00538654	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x528300 relocated switch destinations; 7 contiguous retail code pointers
0x528670	DAT_00538670	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x528300 selector index; retail cmp bound proves 25 byte entries
0x528690	DAT_00538690	0x304	code	Expat xmltok private routine 0x528690 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x528994	DAT_00538994	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x528690 relocated switch destinations; 6 contiguous retail code pointers
0x5289ac	DAT_005389ac	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x528690 selector index; retail cmp bound proves 25 byte entries
0x5289c8	DAT_005389c8	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x528690 relocated switch destinations; 7 contiguous retail code pointers
0x5289e4	DAT_005389e4	0x20	switch::IndexTable<u8>[32]	Expat xmltok private routine 0x528690 selector index; retail cmp bound proves 32 byte entries
0x528a10	DAT_00538a10	0x1d0	code	Expat xmltok private routine 0x528a10 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x528be0	DAT_00538be0	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x528a10 relocated switch destinations; 6 contiguous retail code pointers
0x528bf8	DAT_00538bf8	0xe	switch::IndexTable<u8>[14]	Expat xmltok private routine 0x528a10 selector index; retail cmp bound proves 14 byte entries
0x528c08	DAT_00538c08	0x8	switch::JumpTable[2]	Expat xmltok private routine 0x528a10 relocated switch destinations; 2 contiguous retail code pointers
0x528c10	DAT_00538c10	0x16	switch::IndexTable<u8>[22]	Expat xmltok private routine 0x528a10 selector index; retail cmp bound proves 22 byte entries
0x528c30	_little2_attributeValueTok	0x200	code	Expat xmltok _little2_attributeValueTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x528e30	DAT_00538e30	0x24	switch::JumpTable[9]	Expat xmltok _little2_attributeValueTok relocated switch destinations; 9 contiguous retail code pointers
0x528e54	DAT_00538e54	0x14	switch::IndexTable<u8>[20]	Expat xmltok _little2_attributeValueTok selector index; retail cmp bound proves 20 byte entries
0x528e70	_little2_entityValueTok	0x210	code	Expat xmltok _little2_entityValueTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x529080	DAT_00539080	0x20	switch::JumpTable[8]	Expat xmltok _little2_entityValueTok relocated switch destinations; 8 contiguous retail code pointers
0x5290a0	DAT_005390a0	0x1c	switch::IndexTable<u8>[28]	Expat xmltok _little2_entityValueTok selector index; retail cmp bound proves 28 byte entries
0x5290c0	_little2_ignoreSectionTok	0x254	code	Expat xmltok _little2_ignoreSectionTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x529314	DAT_00539314	0x24	switch::JumpTable[9]	Expat xmltok _little2_ignoreSectionTok relocated switch destinations; 9 contiguous retail code pointers
0x529340	_little2_isPublicId	0x12c	code	Expat xmltok _little2_isPublicId body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52946c	DAT_0053946c	0x10	switch::JumpTable[4]	Expat xmltok _little2_isPublicId relocated switch destinations; 4 contiguous retail code pointers
0x52947c	DAT_0053947c	0x1b	switch::IndexTable<u8>[27]	Expat xmltok _little2_isPublicId selector index; retail cmp bound proves 27 byte entries
0x5294a0	_little2_getAtts	0x398	code	Expat xmltok _little2_getAtts body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x529838	DAT_00539838	0x2c	switch::JumpTable[11]	Expat xmltok _little2_getAtts relocated switch destinations; 11 contiguous retail code pointers
0x529864	DAT_00539864	0x1b	switch::IndexTable<u8>[27]	Expat xmltok _little2_getAtts selector index; retail cmp bound proves 27 byte entries
0x529880	_little2_charRefNumber	0x180	code	Expat xmltok _little2_charRefNumber body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x529a00	DAT_00539a00	0x10	switch::JumpTable[4]	Expat xmltok _little2_charRefNumber relocated switch destinations; 4 contiguous retail code pointers
0x529a10	DAT_00539a10	0x37	switch::IndexTable<u8>[55]	Expat xmltok _little2_charRefNumber selector index; retail cmp bound proves 55 byte entries
0x529a50	_little2_predefinedEntityName	0x1f7	code	Expat xmltok _little2_predefinedEntityName body; manually bounded by its retail COFF contribution
0x529c50	_little2_sameName	0x248	code	Expat xmltok _little2_sameName body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x529e98	DAT_00539e98	0x14	switch::JumpTable[5]	Expat xmltok _little2_sameName relocated switch destinations; 5 contiguous retail code pointers
0x529eac	DAT_00539eac	0x19	switch::IndexTable<u8>[25]	Expat xmltok _little2_sameName selector index; retail cmp bound proves 25 byte entries
0x529ec8	DAT_00539ec8	0x8	switch::JumpTable[2]	Expat xmltok _little2_sameName relocated switch destinations; 2 contiguous retail code pointers
0x529ed0	DAT_00539ed0	0x19	switch::IndexTable<u8>[25]	Expat xmltok _little2_sameName selector index; retail cmp bound proves 25 byte entries
0x529ef0	_little2_nameMatchesAscii	0x5b	code	Expat xmltok _little2_nameMatchesAscii body; manually bounded by its retail COFF contribution
0x529f50	_little2_nameLength	0xa8	code	Expat xmltok _little2_nameLength body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x529ff8	DAT_00539ff8	0x14	switch::JumpTable[5]	Expat xmltok _little2_nameLength relocated switch destinations; 5 contiguous retail code pointers
0x52a00c	DAT_0053a00c	0x19	switch::IndexTable<u8>[25]	Expat xmltok _little2_nameLength selector index; retail cmp bound proves 25 byte entries
0x52a030	_little2_skipS	0x6e	code	Expat xmltok _little2_skipS body; manually bounded by its retail COFF contribution
0x52a0a0	_little2_updatePosition	0x14c	code	Expat xmltok _little2_updatePosition body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52a1ec	DAT_0053a1ec	0x18	switch::JumpTable[6]	Expat xmltok _little2_updatePosition relocated switch destinations; 6 contiguous retail code pointers
0x52a210	_big2_cdataSectionTok	0x370	code	Expat xmltok _big2_cdataSectionTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52a580	DAT_0053a580	0x2c	switch::JumpTable[11]	Expat xmltok _big2_cdataSectionTok relocated switch destinations; 11 contiguous retail code pointers
0x52a5ac	DAT_0053a5ac	0x14	switch::JumpTable[5]	Expat xmltok _big2_cdataSectionTok relocated switch destinations; 5 contiguous retail code pointers
0x52a5c0	DAT_0053a5c0	0xb	switch::IndexTable<u8>[11]	Expat xmltok _big2_cdataSectionTok selector index; retail cmp bound proves 11 byte entries
0x52a5d0	_big2_contentTok	0x428	code	Expat xmltok _big2_contentTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52a9f8	DAT_0053a9f8	0x2c	switch::JumpTable[11]	Expat xmltok _big2_contentTok relocated switch destinations; 11 contiguous retail code pointers
0x52aa24	DAT_0053aa24	0x14	switch::JumpTable[5]	Expat xmltok _big2_contentTok relocated switch destinations; 5 contiguous retail code pointers
0x52aa38	DAT_0053aa38	0xb	switch::IndexTable<u8>[11]	Expat xmltok _big2_contentTok selector index; retail cmp bound proves 11 byte entries
0x52aa50	DAT_0053aa50	0x32c	code	Expat xmltok private routine 0x52aa50 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52ad7c	DAT_0053ad7c	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x52aa50 relocated switch destinations; 7 contiguous retail code pointers
0x52ad98	DAT_0053ad98	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52aa50 selector index; retail cmp bound proves 25 byte entries
0x52adb4	DAT_0053adb4	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x52aa50 relocated switch destinations; 7 contiguous retail code pointers
0x52add0	DAT_0053add0	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52aa50 selector index; retail cmp bound proves 25 byte entries
0x52b030	DAT_0053b030	0x7c4	code	Expat xmltok private routine 0x52b030 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52b7f4	DAT_0053b7f4	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x52b030 relocated switch destinations; 9 contiguous retail code pointers
0x52b818	DAT_0053b818	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52b030 selector index; retail cmp bound proves 25 byte entries
0x52b834	DAT_0053b834	0x28	switch::JumpTable[10]	Expat xmltok private routine 0x52b030 relocated switch destinations; 10 contiguous retail code pointers
0x52b85c	DAT_0053b85c	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52b030 selector index; retail cmp bound proves 25 byte entries
0x52b878	DAT_0053b878	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x52b030 relocated switch destinations; 6 contiguous retail code pointers
0x52b890	DAT_0053b890	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52b030 selector index; retail cmp bound proves 25 byte entries
0x52b8ac	DAT_0053b8ac	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x52b030 relocated switch destinations; 9 contiguous retail code pointers
0x52b8d0	DAT_0053b8d0	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52b030 selector index; retail cmp bound proves 25 byte entries
0x52b8f0	DAT_0053b8f0	0x1e4	code	Expat xmltok private routine 0x52b8f0 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52bad4	DAT_0053bad4	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x52b8f0 relocated switch destinations; 6 contiguous retail code pointers
0x52baec	DAT_0053baec	0x1c	switch::IndexTable<u8>[28]	Expat xmltok private routine 0x52b8f0 selector index; retail cmp bound proves 28 byte entries
0x52bb10	DAT_0053bb10	0x510	code	Expat xmltok private routine 0x52bb10 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52c020	DAT_0053c020	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x52bb10 relocated switch destinations; 6 contiguous retail code pointers
0x52c038	DAT_0053c038	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52bb10 selector index; retail cmp bound proves 25 byte entries
0x52c054	DAT_0053c054	0x20	switch::JumpTable[8]	Expat xmltok private routine 0x52bb10 relocated switch destinations; 8 contiguous retail code pointers
0x52c074	DAT_0053c074	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52bb10 selector index; retail cmp bound proves 25 byte entries
0x52c090	DAT_0053c090	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x52bb10 relocated switch destinations; 6 contiguous retail code pointers
0x52c0a8	DAT_0053c0a8	0x10	switch::IndexTable<u8>[16]	Expat xmltok private routine 0x52bb10 selector index; retail cmp bound proves 16 byte entries
0x52c270	DAT_0053c270	0x3d0	code	Expat xmltok private routine 0x52c270 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52c640	DAT_0053c640	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x52c270 relocated switch destinations; 6 contiguous retail code pointers
0x52c658	DAT_0053c658	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52c270 selector index; retail cmp bound proves 25 byte entries
0x52c674	DAT_0053c674	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x52c270 relocated switch destinations; 9 contiguous retail code pointers
0x52c698	DAT_0053c698	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52c270 selector index; retail cmp bound proves 25 byte entries
0x52c6b4	DAT_0053c6b4	0xc	switch::JumpTable[3]	Expat xmltok private routine 0x52c270 relocated switch destinations; 3 contiguous retail code pointers
0x52c6c0	DAT_0053c6c0	0xd	switch::IndexTable<u8>[13]	Expat xmltok private routine 0x52c270 selector index; retail cmp bound proves 13 byte entries
0x52c6d0	DAT_0053c6d0	0x86c	code	Expat xmltok private routine 0x52c6d0 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52cf3c	DAT_0053cf3c	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x52c6d0 relocated switch destinations; 9 contiguous retail code pointers
0x52cf60	DAT_0053cf60	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52c6d0 selector index; retail cmp bound proves 25 byte entries
0x52cf7c	DAT_0053cf7c	0x18	switch::JumpTable[6]	Expat xmltok private routine 0x52c6d0 relocated switch destinations; 6 contiguous retail code pointers
0x52cf94	DAT_0053cf94	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52c6d0 selector index; retail cmp bound proves 25 byte entries
0x52cfb0	DAT_0053cfb0	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x52c6d0 relocated switch destinations; 9 contiguous retail code pointers
0x52cfd4	DAT_0053cfd4	0x10	switch::JumpTable[4]	Expat xmltok private routine 0x52c6d0 relocated switch destinations; 4 contiguous retail code pointers
0x52cfe4	DAT_0053cfe4	0xd	switch::IndexTable<u8>[13]	Expat xmltok private routine 0x52c6d0 selector index; retail cmp bound proves 13 byte entries
0x52cff4	DAT_0053cff4	0x24	switch::JumpTable[9]	Expat xmltok private routine 0x52c6d0 relocated switch destinations; 9 contiguous retail code pointers
0x52d018	DAT_0053d018	0x19	switch::IndexTable<u8>[25]	Expat xmltok private routine 0x52c6d0 selector index; retail cmp bound proves 25 byte entries
0x52d040	_big2_prologTok	0xa04	code	Expat xmltok _big2_prologTok body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52da44	DAT_0053da44	0x54	switch::JumpTable[21]	Expat xmltok _big2_prologTok relocated switch destinations; 21 contiguous retail code pointers
0x52da98	DAT_0053da98	0x23	switch::IndexTable<u8>[35]	Expat xmltok _big2_prologTok selector index; retail cmp bound proves 35 byte entries
0x52dabc	DAT_0053dabc	0x10	switch::JumpTable[4]	Expat xmltok _big2_prologTok relocated switch destinations; 4 contiguous retail code pointers
0x52dacc	DAT_0053dacc	0x19	switch::IndexTable<u8>[25]	Expat xmltok _big2_prologTok selector index; retail cmp bound proves 25 byte entries
0x52dae8	DAT_0053dae8	0x14	switch::JumpTable[5]	Expat xmltok _big2_prologTok relocated switch destinations; 5 contiguous retail code pointers
0x52dafc	DAT_0053dafc	0x1c	switch::IndexTable<u8>[28]	Expat xmltok _big2_prologTok selector index; retail cmp bound proves 28 byte entries
0x52db18	DAT_0053db18	0x2c	switch::JumpTable[11]	Expat xmltok _big2_prologTok relocated switch destinations; 11 contiguous retail code pointers
0x52db44	DAT_0053db44	0x20	switch::IndexTable<u8>[32]	Expat xmltok _big2_prologTok selector index; retail cmp bound proves 32 byte entries
0x52db64	DAT_0053db64	0x18	switch::JumpTable[6]	Expat xmltok _big2_prologTok relocated switch destinations; 6 contiguous retail code pointers
0x52db7c	DAT_0053db7c	0x19	switch::IndexTable<u8>[25]	Expat xmltok _big2_prologTok selector index; retail cmp bound proves 25 byte entries
0x52dba0	DAT_0053dba0	0x1dc	code	Expat xmltok private routine 0x52dba0 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52dd7c	DAT_0053dd7c	0x20	switch::JumpTable[8]	Expat xmltok private routine 0x52dba0 relocated switch destinations; 8 contiguous retail code pointers
0x52dd9c	DAT_0053dd9c	0x10	switch::JumpTable[4]	Expat xmltok private routine 0x52dba0 relocated switch destinations; 4 contiguous retail code pointers
0x52ddac	DAT_0053ddac	0x16	switch::IndexTable<u8>[22]	Expat xmltok private routine 0x52dba0 selector index; retail cmp bound proves 22 byte entries
0x52ddc4	DAT_0053ddc4	0x8	switch::JumpTable[2]	Expat xmltok private routine 0x52dba0 relocated switch destinations; 2 contiguous retail code pointers
0x52ddcc	DAT_0053ddcc	0x16	switch::IndexTable<u8>[22]	Expat xmltok private routine 0x52dba0 selector index; retail cmp bound proves 22 byte entries
0x52ddf0	DAT_0053ddf0	0x320	code	Expat xmltok private routine 0x52ddf0 body; manually bounded by its retail COFF contribution and first embedded dispatch table
0x52e110	DAT_0053e110	0x1c	switch::JumpTable[7]	Expat xmltok private routine 0x52ddf0 relocated switch destinations; 7 contiguous retail code pointers
