selector	unit	baseline_cur	baseline_max	baseline_ledger_class	pdb_nonmatch_channels	addressed_diff	batch_action
?connect@match_client@network@vostok@@QAEXPBDGIPAVudp_match_packet@network_core@3@ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4lobby_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/match_client.cpp	68.8165	68.8165	SIZE	statement_structure:MISMATCH	SIZE +0x20;SIZE -0x31	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@match_client_impl@network@vostok@@QAEXPBDGIPBVudp_match_packet@network_core@3@ABV?$function@$$A6AXW4connection_error_types_enum@vostok@@W4handshaking_error_types_enum@2@W4socket_error_types_enum@2@W4lobby_server_message_types_enum@2@@Z@boost@@@Z	vostok/network/sources/match_client_impl.cpp	65.3333	65.3333	SIZE	statement_structure:MISMATCH	SIZE +0x22	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@tcp_packet_client@network@vostok@@QAEXPBDG@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@tcp_packet_client@network_core@vostok@@QAEXPBDG@Z	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@udp_match_client@network_core@vostok@@QAEXPBDGPAVudp_match_packet@23@I@Z	vostok/network_core/sources/udp_match_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect@udp_match_connection@network_core@vostok@@QAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?connect_impl@tcp_packet_client@network@vostok@@AAEXPBDG@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?construct_packet@udp_match_connection@network_core@vostok@@SAXAAUudp_match_packets_orderer@23@AAVudp_match_packet@23@E@Z	vostok/network_core/udp_match_connection_inline.h	80.6479	80.6479	SIZE	statement_structure:MISMATCH	SIZE +0xb;SIZE -0x2;BASE_ONLY;TRGT_ONLY;SIZE -0x1;SIZE +0x5	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?create_client@login_client@network@vostok@@AAEXXZ	vostok/network/sources/login_client.cpp	99.85	99.85	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?create_client@match_client@network@vostok@@AAEXPBUudp_network_flow_emulator_options@network_core@3@@Z	vostok/network/sources/match_client.cpp	97.0775	97.0775	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0x7	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?create_client@tcp_packet_client@network@vostok@@AAEXXZ	vostok/network/sources/tcp_packet_client.cpp	93.3353	93.3353	SIZE	statement_structure:MISMATCH	SIZE +0x26	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?create_client_impl@http_client@network@vostok@@AAEXXZ	vostok/network/sources/http_client.cpp	87.8824	87.8824	SIZE	statement_structure:MISMATCH	SIZE +0x11	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?create_responses_packets_allocator@match_client@network@vostok@@AAEXXZ	vostok/network/sources/match_client.cpp	89.7	89.7	SIZE	statement_structure:MISMATCH	SIZE +0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?create_world@network@vostok@@YAPAUworld@12@AAUengine@12@AAVbase_allocator@memory@2@@Z	vostok/network/sources/network_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?delete_udp_match_packet@network_core@vostok@@YAXAAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@AAPAVudp_match_packet@12@@Z	vostok/network_core/udp_match_packet.h	61.3333	61.3333	SIZE	statement_structure:MISMATCH	SIZE -0xf	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?destroy_world@network@vostok@@YAXAAPAUworld@12@@Z	vostok/network/sources/network_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?disconnect@match_client@network@vostok@@QAEXXZ	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?disconnect@match_client_impl@network@vostok@@QAEXXZ	vostok/network/sources/match_client_impl.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?disconnect@tcp_packet_client@network@vostok@@QAEXXZ	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?disconnect@tcp_packet_client@network_core@vostok@@QAEXXZ	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?disconnect@udp_match_client@network_core@vostok@@QAEXXZ	vostok/network_core/sources/udp_match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?disconnect@udp_match_connection@network_core@vostok@@QAEXXZ	vostok/network_core/sources/udp_match_connection.cpp	99.8286	99.8286	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?dispatch_callbacks@network_world@network@vostok@@UAEXXZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?dump@udp_match_connection@network_core@vostok@@AAEXQBDI@Z	vostok/network_core/sources/udp_match_connection.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?enqueue@match_client@network@vostok@@QAEXPAVudp_match_packet@network_core@3@@Z	vostok/network/sources/match_client.cpp	73.5529	97.8862	SIZE	statement_structure:MISMATCH	SIZE -0x53	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?enqueue@udp_match_client@network_core@vostok@@QAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_client.cpp	99.8923	99.8923	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?enqueue@udp_match_connection@network_core@vostok@@QAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	99.8	99.8	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?enqueue_impl@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	84.2429	84.2429	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0x3;SIZE -0xc;SIZE +0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?eof@packet_reader@network_core@vostok@@QBE_NXZ	vostok/network_core/packet_reader_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?establish_connection@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4connection_error_types_enum@vostok@@@Z@boost@@II@Z	vostok/network/sources/login_client_impl.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@client_destroyer@@UAEXXZ	vostok/network/sources/match_client.cpp	73.8	73.8	SIZE	statement_structure:MISMATCH	SIZE +0x4	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@connect_order@network@vostok@@UAEXXZ	vostok/network/sources/connect_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@enqueue_order@network@vostok@@UAEXXZ	vostok/network/sources/enqueue_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@functor_response@network@vostok@@UAEXXZ	vostok/network/sources/functor_response.h	100	100	MATCH	presence:TARGET_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@receive_response@network@vostok@@UAEXXZ	vostok/network/sources/receive_response.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@receive_udp_response@network@vostok@@UAEXXZ	vostok/network/sources/receive_udp_response.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@send_order@network@vostok@@UAEXXZ	vostok/network/sources/send_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@send_queued_order@network@vostok@@UAEXXZ	vostok/network/sources/send_queued_order.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?execute@string_response@network@vostok@@UAEXXZ	vostok/network/sources/string_order.h	100	100	MATCH	presence:BASE_ONLY	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?fill_packet_header@udp_match_connection@network_core@vostok@@AAEXAAVudp_match_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	71.0556	71.0556	SIZE	statement_structure:MISMATCH	SIZE -0xc;SIZE -0xc;SIZE -0x6	pointer_cast for acknowledgement-word destination, matching retail pointer temp. Serialize reference-slot residuals remain separate.
?finalize@network@vostok@@YAXXZ	vostok/network/sources/network_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?finalize@network_core@vostok@@YAXXZ	vostok/network_core/sources/network_core_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?finalize@network_world@network@vostok@@UAEXXZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?get@http_client@network@vostok@@QAEXPBD0ABV?$function@$$A6AXPBD@Z@boost@@@Z	vostok/network/sources/http_client.cpp	100	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?get@http_client@network_core@vostok@@QAEXPBD0ABV?$function@$$A6AXXZ@boost@@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?get_connection_info_from_string@network_core@vostok@@YA_NPBDQADAAG@Z	vostok/network_core/sources/network_core_entry_point.cpp	99.9783	99.9783	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?get_impl@http_client@network@vostok@@AAEXPBD0@Z	vostok/network/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?get_ip_address@network_core@vostok@@YA?AV?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@AAVio_service@asio@boost@@@Z	vostok/network_core/sources/network_core_entry_point.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handle_connect@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@6@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handle_read_content@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handle_read_status_line@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@@Z	vostok/network_core/sources/http_client.cpp	94.3516	94.3516	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0xd;SIZE -0x4;SIZE +0xd;SIZE +0x1;SIZE -0x1	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handle_receive@udp_match_client@network_core@vostok@@AAEXABVerror_code@system@boost@@I@Z	vostok/network_core/sources/udp_match_client.cpp	99.9878	99.9878	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handle_resolve@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@6@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handle_send@udp_match_connection@network_core@vostok@@AAEXPAVudp_match_packet@23@ABVerror_code@system@boost@@I@Z	vostok/network_core/sources/udp_match_connection.cpp	96.9531	96.9531	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0x11	Singular success suppression in target gap103; pointer_cast and enum tag ternary at line113. Measure warning and17B residual.
?handle_write_request@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?handshake@login_client_impl@network@vostok@@AAEXABV?$function@$$A6AXW4handshaking_error_types_enum@vostok@@@Z@boost@@I_N@Z	vostok/network/sources/login_client_impl_handshake.cpp	99.9885	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?header_size@udp_match_packet@network_core@vostok@@QBEEXZ	vostok/network_core/udp_match_packet.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?host_ip_address@login_client@network@vostok@@QBEPBDXZ	vostok/network/sources/login_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?initialize@network@vostok@@YAXXZ	vostok/network/sources/network_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?initialize@network_core@vostok@@YAXXZ	vostok/network_core/sources/network_core_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?initialize@network_world@network@vostok@@UAEXXZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?instant_disconnect@udp_match_connection@network_core@vostok@@QAEXW4disconnect_event_types_enum@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	99.8452	99.8452	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?is_connected@match_client@network@vostok@@QBE_NXZ	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?is_disconnected@match_client@network@vostok@@QBE_NXZ	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?is_low_level_packet@udp_match_connection@network_core@vostok@@SA_NABVbase_packet@23@@Z	vostok/network_core/sources/udp_match_connection.cpp	83.2162	83.2162	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0xc;SIZE -0xc	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?last_receive_time_in_ms@match_client@network@vostok@@QBEIXZ	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?make_packet_lost@udp_network_flow_emulator@network_core@vostok@@AAEXPAEIABV?$basic_endpoint@Vudp@ip@asio@boost@@@ip@asio@boost@@@Z	vostok/network_core/sources/udp_network_flow_emulator.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?memory_allocator@network@vostok@@YAXAAVdoug_lea_allocator@memory@2@@Z	vostok/network/sources/network_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?memory_allocator@network_core@vostok@@YAXAAVbase_allocator@memory@2@@Z	vostok/network_core/sources/network_core_entry_point.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?new_low_level_packet@udp_match_connection@network_core@vostok@@AAEPAVudp_match_packet@23@E@Z	vostok/network_core/sources/udp_match_connection.cpp	85.9398	85.9398	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE +0xc;SIZE +0xb	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?new_packet@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEPAVtcp_packet@23@XZ	vostok/network_core/tcp_packet_socket_inline.h	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?new_packet@match_client@network@vostok@@QAEPAVudp_match_packet@network_core@3@E@Z	vostok/network/sources/match_client.cpp	75.4	75.4	SIZE	statement_structure:MISMATCH	SIZE +0xf	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?new_packet@network_world@network@vostok@@QAEPAVtcp_packet@network_core@3@XZ	vostok/network/sources/network_world.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?new_udp_match_packet@network_core@vostok@@YAPAVudp_match_packet@12@AAV?$single_size_buffer_allocator@$0BCM@Vsingle_threading_policy@threading@vostok@@@memory@2@@Z	vostok/network_core/udp_match_packet.h	99.7391	99.7391	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_connected@async_connector@network_core@vostok@@AAEXABVerror_code@system@boost@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@6@@Z	vostok/network_core/sources/async_connector.cpp	99.9904	99.9904	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	BASE_ONLY;TRGT_ONLY	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_connected@login_client_impl@network@vostok@@AAEXIABV?$function@$$A6AXW4connection_error_types_enum@vostok@@@Z@boost@@V?$basic_resolver_iterator@Vtcp@ip@asio@boost@@@ip@asio@5@ABVerror_code@system@5@1@Z	vostok/network/sources/login_client_impl_connect.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_connected@match_client@network@vostok@@AAEXW4connection_error_types_enum@3@W4handshaking_error_types_enum@3@W4socket_error_types_enum@3@W4lobby_server_message_types_enum@3@@Z	vostok/network/sources/match_client.cpp	88.3253	88.3253	SIZE	statement_structure:MISMATCH	SIZE +0x11	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_connected@tcp_packet_client@network@vostok@@AAEXXZ	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_connected@tcp_packet_client@network_core@vostok@@AAEXXZ	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_connected_impl@tcp_packet_client@network@vostok@@AAEXXZ	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_content_downloaded@http_client@network@vostok@@AAEXXZ	vostok/network/sources/http_client.cpp	99.9	99.9	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_content_downloaded_impl@http_client@network@vostok@@AAEXPBD@Z	vostok/network/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_disconnect@match_client@network@vostok@@AAEXW4disconnect_event_types_enum@network_core@3@@Z	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_disconnect@match_client_impl@network@vostok@@AAEXW4disconnect_event_types_enum@network_core@3@@Z	vostok/network/sources/match_client_impl.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_disconnect@udp_match_client@network_core@vostok@@AAEXW4disconnect_event_types_enum@23@@Z	vostok/network_core/sources/udp_match_client.cpp	100	100	MATCH	statement_line_geometry:MISMATCH	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_disconnect_impl@match_client@network@vostok@@AAEXW4disconnect_event_types_enum@network_core@3@@Z	vostok/network/sources/match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_disconnected@tcp_packet_client@network@vostok@@AAEXXZ	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_disconnected_impl@tcp_packet_client@network@vostok@@AAEXXZ	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error@http_client@network@vostok@@AAEXVerror_code@system@boost@@@Z	vostok/network/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error@http_client@network_core@vostok@@AAEXABVerror_code@system@boost@@@Z	vostok/network_core/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error@tcp_packet_client@network@vostok@@AAEXW4client_error_codes_enum@network_core@3@Verror_code@system@boost@@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error@tcp_packet_client@network_core@vostok@@AAEXW4client_error_codes_enum@23@Verror_code@system@boost@@@Z	vostok/network_core/sources/tcp_packet_client.cpp	100	100	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error@udp_match_client@network_core@vostok@@AAEXW4client_error_codes_enum@23@Verror_code@system@boost@@@Z	vostok/network_core/sources/udp_match_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error@udp_match_connection@network_core@vostok@@AAEXW4client_error_codes_enum@23@Verror_code@system@boost@@@Z	vostok/network_core/sources/udp_match_connection.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error_impl@http_client@network@vostok@@AAEXVerror_code@system@boost@@@Z	vostok/network/sources/http_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_error_impl@tcp_packet_client@network@vostok@@AAEXW4client_error_codes_enum@network_core@3@Verror_code@system@boost@@@Z	vostok/network/sources/tcp_packet_client.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_handshaked@login_client_impl@network@vostok@@AAEXABVerror_code@system@boost@@ABV?$function@$$A6AXW4handshaking_error_types_enum@vostok@@@Z@6@I_N@Z	vostok/network/sources/login_client_impl_handshake.cpp	100	100	MATCH	none_reported	not_flagged_for_addressed_diff	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_packet_has_been_sent@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXPBVtcp_packet@23@ABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	99.9877	99.9877	SIZE	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	SIZE -0x3	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_packet_received@?$tcp_packet_socket@V?$basic_stream_socket@Vtcp@ip@asio@boost@@V?$stream_socket_service@Vtcp@ip@asio@boost@@@34@@asio@boost@@@network_core@vostok@@AAEXPBVtcp_packet@23@ABVerror_code@system@boost@@I@Z	vostok/network_core/tcp_packet_socket_inline.h	99.9913	99.9913	MATCH	statement_structure:MISMATCH;statement_line_geometry:MISMATCH	projected_match	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
?on_packet_received@match_client@network@vostok@@AAEXEAAVpacket_reader@network_core@3@@Z	vostok/network/sources/match_client.cpp	78.187	78.187	SIZE	statement_structure:MISMATCH	SIZE +0x3;SIZE +0x10;SIZE -0x35	Unchanged control; rerun whole-scope comparison. Existing residuals are not closed by this audit.
